2020-06-10 21:42:39.916678,0:00:00.433912
2020-06-10 21:42:41.364574,0:00:00.120551
2020-06-10 21:42:42.511715,0:00:00.123784
2020-06-10 21:42:43.661183,0:00:00.116142
2020-06-10 21:42:44.792480,0:00:00.134400
2020-06-10 21:42:45.942390,0:00:00.173290
2020-06-10 21:42:47.141220,0:00:00.148266
2020-06-10 21:42:48.314816,0:00:00.127575
2020-06-10 21:42:49.468193,0:00:00.154165
2020-06-10 21:42:50.636277,0:00:00.134069
2020-06-10 21:42:51.795888,0:00:00.119214
2020-06-10 21:42:52.941164,0:00:00.132718
2020-06-10 21:42:54.099277,0:00:00.126209
2020-06-10 21:42:55.250855,0:00:00.143131
2020-06-10 21:42:56.419297,0:00:00.137904
2020-06-10 21:42:57.582660,0:00:00.141028
2020-06-10 21:42:58.749252,0:00:00.126491
2020-06-10 21:42:59.902393,0:00:00.137821
2020-06-10 21:43:01.058561,0:00:00.161021
2020-06-10 21:43:02.245414,0:00:00.123016
2020-06-10 21:43:03.393898,0:00:00.117743
2020-06-10 21:43:04.525461,0:00:00.125382
2020-06-10 21:43:05.676478,0:00:00.114397
2020-06-10 21:43:06.804971,0:00:00.121944
2020-06-10 21:43:07.952445,0:00:00.136952
2020-06-10 21:43:09.115234,0:00:00.131249
2020-06-10 21:43:10.272390,0:00:00.116753
2020-06-10 21:43:11.403022,0:00:00.163511
2020-06-10 21:43:12.592201,0:00:00.121362
2020-06-10 21:43:13.727547,0:00:00.124884
2020-06-10 21:43:14.877768,0:00:00.122960
2020-06-10 21:43:16.026318,0:00:00.121908
2020-06-10 21:43:17.173670,0:00:00.141910
2020-06-10 21:43:18.341236,0:00:00.145718
2020-06-10 21:43:19.512561,0:00:00.126444
2020-06-10 21:43:20.664725,0:00:00.122928
2020-06-10 21:43:21.814656,0:00:00.160004
2020-06-10 21:43:23.000675,0:00:00.116042
2020-06-10 21:43:24.142535,0:00:00.123424
2020-06-10 21:43:25.279686,0:00:00.126524
2020-06-10 21:43:26.432988,0:00:00.137864
2020-06-10 21:43:27.596469,0:00:00.138370
2020-06-10 21:43:28.760323,0:00:00.123909
2020-06-10 21:43:29.910066,0:00:00.112522
2020-06-10 21:43:31.036778,0:00:00.159720
2020-06-10 21:43:32.222906,0:00:00.121115
2020-06-10 21:43:33.369825,0:00:00.121251
2020-06-10 21:43:34.516729,0:00:00.120263
2020-06-10 21:43:35.662862,0:00:00.118909
2020-06-10 21:43:36.807311,0:00:00.120439
2020-06-10 21:43:37.953722,0:00:00.142393
2020-06-10 21:43:39.121993,0:00:00.196308
2020-06-10 21:43:40.344368,0:00:00.136584
2020-06-10 21:43:41.506738,0:00:00.128332
2020-06-10 21:43:42.661163,0:00:00.118420
2020-06-10 21:43:43.806561,0:00:00.119307
2020-06-10 21:43:44.940383,0:00:00.119864
2020-06-10 21:43:46.086052,0:00:00.159493
2020-06-10 21:43:47.271470,0:00:00.125863
2020-06-10 21:43:48.423402,0:00:00.128963
2020-06-10 21:43:49.578172,0:00:00.139440
2020-06-10 21:43:50.743806,0:00:00.121798
2020-06-10 21:43:51.892089,0:00:00.117019
2020-06-10 21:43:53.023823,0:00:00.129591
2020-06-10 21:43:54.181572,0:00:00.139966
2020-06-10 21:43:55.349286,0:00:00.146625
2020-06-10 21:43:56.523351,0:00:00.124352
